fixed acidity,citric acid,sulphates,alcohol,quality
7.4,0.0,0.56,9.4,5
7.8,0.0,0.68,9.8,5
7.8,0.04,0.65,9.8,5
11.2,0.56,0.58,9.8,6
7.4,0.0,0.56,9.4,5
7.4,0.0,0.56,9.4,5
7.9,0.06,0.46,9.4,5
7.3,0.0,0.47,10.0,7
7.8,0.02,0.57,9.5,7
7.5,0.36,0.8,10.5,5
6.7,0.08,0.54,9.2,5
7.5,0.36,0.8,10.5,5
5.6,0.0,0.52,9.9,5
7.8,0.29,1.56,9.1,5
8.9,0.18,0.88,9.2,5
8.9,0.19,0.93,9.2,5
8.5,0.56,0.75,10.5,7
8.1,0.28,1.28,9.3,5
7.4,0.08,0.5,9.0,4
7.9,0.51,1.08,9.2,6
8.9,0.48,0.53,9.4,6
7.6,0.31,0.65,9.7,5
7.9,0.21,0.91,9.5,5
8.5,0.11,0.53,9.4,5
6.9,0.14,0.63,9.7,6
6.3,0.16,0.56,9.3,5
7.6,0.24,0.59,9.5,5
7.9,0.21,0.91,9.5,5
7.1,0.0,0.55,9.4,5
7.8,0.0,0.59,9.8,6
6.7,0.07,0.54,10.1,5
6.9,0.0,0.57,10.6,6
8.3,0.12,0.66,9.8,5
6.9,0.12,0.52,9.4,6
5.2,0.25,0.55,9.2,5
7.8,0.0,0.55,9.6,6
7.8,0.14,0.6,10.8,6
8.1,0.28,0.73,9.7,7
5.7,0.09,0.48,9.8,4
7.3,0.36,0.83,10.5,5
7.3,0.36,0.83,10.5,5
8.8,0.3,0.51,9.3,4
7.5,0.2,0.9,10.5,6
8.1,0.22,1.2,10.3,5
6.8,0.02,0.52,9.5,5
4.6,0.15,0.56,13.1,4
7.7,0.43,0.73,9.2,5
8.7,0.52,0.58,9.5,5
6.4,0.23,0.56,9.2,5
5.6,0.37,0.58,9.2,5
8.8,0.26,0.74,9.2,5
6.6,0.04,0.63,9.4,6
6.6,0.04,0.64,9.4,6
8.6,0.36,0.56,9.4,5
7.6,0.15,0.63,10.2,6
7.7,0.04,0.53,9.5,5
10.2,0.57,0.63,9.6,5
7.5,0.12,0.77,9.4,5
7.8,0.18,0.59,10.0,5
7.3,0.31,0.54,9.4,6
8.8,0.4,0.64,9.2,5
7.7,0.49,0.71,9.3,5
7.5,0.16,0.62,9.5,7
7.0,0.05,0.57,9.8,5
7.2,0.05,0.39,10.9,5
7.2,0.05,0.39,10.9,5
7.5,0.11,0.58,9.6,5
6.6,0.07,0.58,10.7,5
9.3,0.57,0.79,10.7,5
8.0,0.05,0.95,10.5,6
7.7,0.08,0.54,9.5,6
7.7,0.23,0.48,9.5,5
7.7,0.22,0.48,9.5,5
8.3,0.26,0.53,9.2,4
9.7,0.54,0.82,9.6,5
8.8,0.64,0.66,10.5,5
8.8,0.64,0.66,10.5,5
6.8,0.0,0.55,10.7,6
6.7,0.12,0.52,10.1,5
8.3,0.2,1.12,9.1,4
6.2,0.2,0.56,9.2,5
7.8,0.7,1.28,9.4,5
7.4,0.47,0.57,9.1,5
7.3,0.26,1.14,9.4,5
6.3,0.48,0.78,10.3,6
6.9,0.15,0.59,10.1,5
8.6,0.28,1.95,9.9,6
7.7,0.26,0.64,9.6,5
9.3,0.44,1.22,9.5,5
7.0,0.08,0.53,9.0,5
7.9,0.26,0.54,9.5,5
8.6,0.28,1.95,9.9,6
8.6,0.29,1.98,9.8,5
